N,P,K,temp,ph,label
32,48,18,26.45707778,5.993513566,mothbeans
29,44,20,30.04132304,8.620107545,mothbeans
25,51,18,27.77799528,9.45949344,mothbeans
10,44,24,30.99256944,8.0344125,mothbeans
23,35,18,26.4908332,5.414492777,mothbeans
9,60,23,31.96987867,6.276004336,mothbeans
3,58,21,25.36140526,9.160691747,mothbeans
22,42,22,25.54249137,7.887658711,mothbeans
12,39,21,28.99319096,8.183844843,mothbeans
39,36,22,29.34317422,9.072011412,mothbeans
32,41,16,28.63618921,7.702287236,mothbeans
30,41,15,24.83206631,5.88509677,mothbeans
19,36,22,25.44689075,6.16496284,mothbeans
4,46,15,31.01274943,3.504752314,mothbeans
21,39,20,27.06179658,7.388007483,mothbeans
35,57,25,27.0956288,8.340398059,mothbeans
22,55,24,28.56800579,8.66077954,mothbeans
35,51,17,28.79929247,3.558822825,mothbeans
17,56,17,27.94293692,5.9565851,mothbeans
28,57,17,30.47757686,9.416003106,mothbeans
22,36,16,30.58139475,8.18422855,mothbeans
11,41,19,26.85911286,5.131779302,mothbeans
38,38,18,26.31051759,6.294130313,mothbeans
23,37,24,28.77833449,7.991902443,mothbeans
25,35,20,28.90245417,8.923095695,mothbeans
40,45,20,29.37687468,6.878498176,mothbeans
23,58,19,24.17093241,5.243634849,mothbeans
2,56,23,26.65333029,7.550090941,mothbeans
3,56,17,28.19912143,8.709291688,mothbeans
26,51,25,28.76488954,7.792508068,mothbeans
39,42,20,29.3499706,8.055908858,mothbeans
27,59,20,28.00937423,4.397698806,mothbeans
24,45,19,26.85851927,5.952384957,mothbeans
7,40,17,31.2123945,8.532078733,mothbeans
15,45,23,24.20422636,7.224193642,mothbeans
26,52,23,29.98835437,4.931890506,mothbeans
20,45,16,29.93964907,4.626212446,mothbeans
34,54,24,31.2119298,5.026003659,mothbeans
19,51,25,26.80474415,3.5253661,mothbeans
29,41,21,31.49398069,8.86979671,mothbeans
20,50,22,30.99694676,9.406887533,mothbeans
11,40,23,29.61253065,5.80428611,mothbeans
15,54,15,29.97604322,8.35495812,mothbeans
35,55,22,30.88883074,8.634929739,mothbeans
9,59,25,30.39321309,7.699200949,mothbeans
40,45,18,30.43683729,5.261285926,mothbeans
35,38,19,25.32688786,9.112771682,mothbeans
14,58,17,30.53684308,4.605700542,mothbeans
40,55,18,30.38257873,7.115994051,mothbeans
18,36,23,24.01825377,7.214078621,mothbeans
35,52,15,28.69841277,9.93509073,mothbeans
4,59,22,29.33743412,8.914074888,mothbeans
22,51,16,27.96583691,8.639586199,mothbeans
33,47,17,24.86803974,8.621514073,mothbeans
2,51,17,25.87682261,5.838508699,mothbeans
16,51,21,31.01963639,3.532008668,mothbeans
19,55,20,27.43329405,7.18530147,mungbean
8,54,20,28.3340432,7.034214276,mungbean
36,55,20,27.01470397,6.635968698,mungbean
10,56,16,28.17432665,6.828187499,mungbean
22,56,17,29.87888063,6.89077995,mungbean
9,57,24,29.89232778,7.165121109,mungbean
34,59,23,28.56212158,6.935804256,mungbean
31,51,25,27.53592929,7.196774236,mungbean
0,49,18,29.68361658,6.990095452,mungbean
21,39,20,28.14448546,7.064782138,mungbean
28,35,22,29.53037621,7.156563094,mungbean
17,52,17,27.88352946,6.364967184,mungbean
24,42,23,28.22471276,6.428054409,mungbean
28,46,16,29.008124,6.664187809,mungbean
21,38,21,29.75538903,6.637677489,mungbean
34,60,25,29.78416743,6.79385576,mungbean
19,53,22,27.8640132,6.852884643,mungbean
31,58,15,27.11026483,7.121571293,mungbean
19,35,24,27.11030369,6.883308033,mungbean
24,53,17,28.95451232,6.421271178,mungbean
13,47,20,29.21780035,6.54450214,mungbean
31,53,16,28.7420098,6.452006451,mungbean
28,45,23,29.65021184,6.489259136,mungbean
31,37,21,27.23924995,6.713410626,mungbean
33,60,15,28.95172351,6.510840928,mungbean
34,45,21,28.18837136,6.287380117,mungbean
13,57,25,28.30041493,6.86308576,mungbean
33,57,17,27.89636126,6.78415271,mungbean
32,57,22,28.6899851,6.769415888,mungbean
23,59,25,27.8262623,6.320768488,mungbean
35,41,18,28.70562673,6.705008504,mungbean
6,48,24,28.6362812,6.790736339,mungbean
29,36,25,28.28511547,7.130278657,mungbean
4,36,22,27.60887393,7.012740397,mungbean
10,59,22,28.60901145,7.155685016,mungbean
14,48,21,29.24598976,6.991242362,mungbean
8,50,21,28.62911222,6.218923893,mungbean
20,40,15,29.57329479,7.199495368,mungbean
36,43,22,27.82684262,6.389882166,mungbean
14,57,15,29.8757015,6.623438282,mungbean
11,60,23,27.33684386,7.033012777,mungbean
10,59,15,29.83040388,6.32400451,mungbean
7,60,25,28.2753171,6.397636709,mungbean
2,47,15,29.86860065,6.401455706,mungbean
20,45,22,29.5888162,6.904587016,mungbean
2,39,15,28.07219563,6.478557136,mungbean
27,40,24,27.84026517,7.063022095,mungbean
35,48,15,27.10818093,6.981758362,mungbean
4,59,25,27.68515114,6.227134139,mungbean
1,48,24,29.34594634,6.232836962,mungbean
36,43,21,28.36319404,7.140437859,mungbean
11,46,24,27.65280218,6.459252023,mungbean
34,47,19,27.31372793,6.568795404,mungbean
21,44,18,27.06909959,7.12851089,mungbean
17,58,20,28.06642822,6.42937879,mungbean
25,40,21,27.73329078,6.248900919,mungbean
2,38,18,27.53632932,6.619891498,mungbean
9,48,20,29.66461594,6.377568542,mungbean
37,49,25,29.9145443,6.415459592,mungbean
36,38,15,28.36363858,6.320662012,mungbean
40,58,15,29.46416042,6.978400282,mungbean
30,44,16,29.73013036,6.442335593,mungbean
1,59,23,27.46852989,7.184398832,mungbean
9,48,22,27.77076285,6.402926221,mungbean
14,41,17,29.12939524,7.085982325,mungbean
35,52,19,27.10606808,6.698574085,mungbean
31,48,17,28.88078945,6.594739424,mungbean
4,41,20,28.14720892,6.647965508,mungbean
30,37,25,29.89129144,7.120032489,mungbean
9,35,20,27.41503453,6.91380932,mungbean
20,41,20,29.27308605,7.073048264,mungbean
37,50,23,29.65296893,6.5304707,mungbean
34,35,21,28.44524991,6.684381357,mungbean
14,37,15,27.96235681,6.581351374,mungbean
23,39,22,29.25649321,6.86483915,mungbean
5,45,21,28.36291385,6.487124217,mungbean
22,37,20,27.62749466,6.605733068,mungbean
40,51,17,28.66086349,6.860602782,mungbean
27,56,20,29.2114218,6.41874299,mungbean
31,40,22,29.40889385,6.365513634,mungbean
38,36,21,28.02952623,6.556372966,mungbean
6,37,17,28.08657178,6.760694228,mungbean
6,47,18,29.16174608,6.715276663,mungbean
24,44,17,29.8596912,6.666380512,mungbean
25,59,19,29.06631494,6.626629798,mungbean
32,56,21,27.38538997,6.702772465,mungbean
8,45,18,27.93034941,7.011030515,mungbean
19,39,17,29.2808618,6.890156495,mungbean
39,37,15,28.9973145,6.821747052,mungbean
33,37,19,27.92678579,7.183189922,mungbean
26,54,17,28.5474135,6.27258822,mungbean
21,51,15,29.36488409,6.679127482,mungbean
22,54,20,28.56149805,6.689825155,mungbean
29,45,16,28.43683487,6.583381939,mungbean
4,40,21,28.79728147,6.725551062,mungbean
10,37,22,28.7275267,7.069747814,mungbean
4,44,19,27.95639663,6.921993878,mungbean
20,45,17,28.17458662,6.770955317,mungbean
23,45,23,28.77653519,6.983130466,mungbean
25,48,21,28.438097,6.267684328,mungbean
56,79,15,29.48439992,7.454532137,blackgram
25,62,21,26.73433965,7.040056094,blackgram
42,61,22,26.27274407,7.418650668,blackgram
42,73,25,34.03679184,6.501869314,blackgram
44,58,18,28.03644051,6.814410928,blackgram
50,55,16,28.81460716,7.581442888,blackgram
35,72,21,34.03619494,7.741418772,blackgram
30,64,20,33.8642935,6.573531614,blackgram
27,64,21,32.84213012,7.543804223,blackgram
50,74,17,27.10053268,6.5408208,blackgram
39,73,24,25.65842532,7.22405917,blackgram
57,67,25,32.34744009,7.551364319,blackgram
52,63,19,29.58949031,6.928898659,blackgram
55,66,22,30.91219459,7.747775263,blackgram
51,56,18,28.12787838,6.706505915,blackgram
36,66,15,30.08545364,6.668238556,blackgram
59,55,19,31.74379487,7.332375138,blackgram
50,58,23,27.81326852,7.596802025,blackgram
30,65,25,32.88733849,7.70650895,blackgram
20,62,18,29.36358721,7.366542647,blackgram
58,71,15,27.82592799,6.919243702,blackgram
25,71,24,28.49538735,7.187721818,blackgram
52,71,16,27.74274761,7.075886472,blackgram
40,63,18,30.41588462,6.74441168,blackgram
20,60,25,27.3254209,6.726469088,blackgram
48,61,21,30.28496619,6.628264883,blackgram
49,68,22,28.56840626,7.127064207,blackgram
48,62,15,25.36586097,7.538631462,blackgram
32,66,17,34.9466155,7.162357641,blackgram
21,63,22,25.09737391,6.859409487,blackgram
20,72,19,32.47648301,7.397190844,blackgram
25,65,21,33.86351172,6.880245789,blackgram
41,78,21,25.19857725,6.581313137,blackgram
53,67,17,31.77681682,7.296972161,blackgram
39,60,21,34.89814946,6.97297656,blackgram
25,76,17,31.74105409,7.241148507,blackgram
21,78,19,27.16159076,6.92009048,blackgram
57,60,17,26.23773129,7.504608385,blackgram
56,75,15,30.20157245,7.152272256,blackgram
49,72,15,31.55846339,7.137004749,blackgram
24,80,19,29.67892453,6.808041722,blackgram
49,76,18,27.05365239,7.393631868,blackgram
28,68,19,34.63880966,7.69950698,blackgram
55,78,21,33.39438752,6.602888249,blackgram
50,64,25,28.84079155,6.734447425,blackgram
34,80,19,31.49338309,6.521217963,blackgram
20,68,23,25.54960633,7.707332484,blackgram
55,67,16,34.37329112,6.596719015,blackgram
23,70,15,34.6008247,7.403623355,blackgram
53,74,15,29.43463808,7.517097,blackgram
26,67,16,29.10713092,7.17620823,blackgram
33,80,22,28.57006111,6.593961761,blackgram
37,79,19,27.54384835,7.143942758,blackgram
33,75,21,33.04687968,6.690655045,blackgram
22,55,20,33.95309131,7.423530351,blackgram
20,68,17,30.11873003,6.578714843,blackgram
43,68,20,29.57812712,7.497469256,blackgram
44,76,22,27.26458947,7.775306272,blackgram
34,60,16,31.35730791,7.322555223,blackgram
21,72,17,31.52104732,7.580527339,blackgram
25,68,19,29.39982732,7.108450121,blackgram
41,62,15,29.38400259,7.358974541,blackgram
28,65,23,28.38686534,7.405176138,blackgram
35,64,15,28.47442276,6.500144962,blackgram
52,58,16,30.64095781,7.167435834,blackgram
58,75,25,25.25596239,7.261791753,blackgram
34,66,19,32.97030511,7.586642101,blackgram
52,70,16,33.66855394,7.534811833,blackgram
23,57,19,32.83963757,7.251000789,blackgram
42,58,25,27.45853567,6.513620918,blackgram
37,62,17,25.68576704,7.121254928,blackgram
44,75,22,30.0328403,7.574561547,blackgram
21,80,20,28.20667264,7.350869792,blackgram
56,76,16,28.27265858,7.513151076,blackgram
29,76,15,28.5417236,7.025607706,blackgram
43,61,20,26.87187036,6.804253866,blackgram
55,60,15,32.79766751,7.163043872,blackgram
44,63,15,26.42333018,7.338929556,blackgram
29,67,21,29.79181107,6.621323612,blackgram
47,63,16,27.44003279,6.661870999,blackgram
40,68,17,34.1262979,7.733149554,blackgram
58,61,15,30.94908189,7.402891666,blackgram
41,74,18,28.75751783,6.599147298,blackgram
58,79,17,27.24766491,7.04174124,blackgram
27,62,24,28.63005477,7.353876754,blackgram
27,60,17,26.41768321,7.026795359,blackgram
52,65,20,32.81705216,6.814301033,blackgram
44,55,25,29.6321052,7.42160832,blackgram
21,62,24,33.49077065,6.847382891,blackgram
60,59,22,31.86847286,7.191522601,blackgram
33,77,21,30.32992227,7.01285529,blackgram
59,58,17,28.546224,7.368318809,blackgram
29,63,17,30.02629908,7.26154329,blackgram
59,63,18,31.65531175,6.52669158,blackgram
29,70,15,30.33499674,6.872594461,blackgram
58,73,16,33.36984395,6.874142175,blackgram
55,77,22,31.4345059,7.76061831,blackgram
42,79,23,27.71678273,6.781841984,blackgram
44,77,21,32.63918668,7.326980454,blackgram
38,62,25,32.7477393,7.453975408,blackgram
32,76,15,28.05153602,7.604110177,lentil
13,61,22,19.44084326,7.728832424,lentil
38,60,20,29.84823072,7.491217102,lentil
11,74,17,21.36383757,6.633864582,lentil
37,71,16,26.28663931,7.324863481,lentil
29,71,18,22.17499963,6.410441476,lentil
2,72,18,26.57597546,7.836719564,lentil
6,59,21,26.58972517,6.139215944,lentil
13,64,20,19.1345771,6.590571088,lentil
8,58,17,28.75273118,7.286049978,lentil
6,77,20,25.78746268,6.058306161,lentil
2,75,22,23.89271875,6.658605362,lentil
3,69,23,28.67408774,7.299360767,lentil
27,80,24,28.42062847,7.815210661,lentil
39,78,15,21.35499456,5.925391795,lentil
40,79,17,21.12695586,6.403683619,lentil
37,62,22,24.02037872,7.397546271,lentil
31,60,24,25.40474421,7.722335992,lentil
22,67,22,29.03017561,7.475926645,lentil
3,78,18,20.21368219,6.887130053,lentil
4,80,16,29.19585548,7.441976825,lentil
13,61,24,18.29783597,7.629910253,lentil
12,66,20,27.41434987,7.336117221,lentil
4,61,21,24.84063998,6.75020529,lentil
9,60,21,29.94413861,7.52178027,lentil
18,66,22,25.87990287,6.347379185,lentil
32,56,18,20.0467711,7.135251532,lentil
6,72,15,22.99451999,7.670178119,lentil
15,77,20,25.13163619,7.399749291,lentil
0,65,24,28.49584395,7.841496029,lentil
30,79,22,18.28766124,6.254216611,lentil
3,63,16,24.38041875,6.868881708,lentil
2,78,23,21.31852148,7.320514721,lentil
10,78,18,18.54141834,6.296976913,lentil
14,67,25,25.28710601,7.241151936,lentil
39,65,23,25.43459777,7.685959305,lentil
19,72,15,28.83600962,6.890760124,lentil
18,57,21,27.37659643,6.155915975,lentil
31,58,15,28.31886863,6.167855382,lentil
28,58,25,27.4818649,6.861640036,lentil
5,65,19,18.28072173,6.978361689,lentil
16,65,19,27.61204997,7.043160241,lentil
34,65,19,23.43974653,5.94239222,lentil
14,69,19,20.95628486,7.239455147,lentil
22,55,16,23.7937153,6.516317561,lentil
24,61,17,22.6371424,6.233269045,lentil
2,79,15,21.53577883,7.505283615,lentil
26,63,17,29.87854588,6.950300686,lentil
27,61,15,25.2653291,6.958054839,lentil
24,70,16,25.17885316,6.54803469,lentil
13,74,25,24.12192608,6.461618577,lentil
6,64,23,23.33565221,7.065264073,lentil
12,58,23,21.74600081,6.765091462,lentil
32,79,22,27.60195453,5.91645379,lentil
6,68,18,24.388717,6.711341147,lentil
10,79,20,24.98287462,6.379881442,lentil
38,77,22,28.234829,6.313284268,lentil
17,74,17,26.03026959,7.393210848,lentil
26,68,24,28.04849594,7.504930973,lentil
23,75,17,24.87425505,7.198076286,lentil
32,78,22,23.97081395,7.007037515,lentil
19,79,19,20.06003985,6.677262562,lentil
22,60,18,19.59221047,6.74398035,lentil
28,69,16,29.77013109,6.547361618,lentil
1,67,21,27.52135365,6.551577598,lentil
12,67,23,25.62896213,6.585020303,lentil
36,67,20,20.39078312,6.924042372,lentil
28,70,21,25.39038396,7.437373666,lentil
12,71,19,24.91079638,7.142611056,lentil
22,68,16,27.70496805,7.74672376,lentil
26,66,22,18.06486101,6.300479414,lentil
16,65,16,18.13027797,6.078724107,lentil
14,59,22,23.82723528,6.76660668,lentil
33,59,19,23.19305333,7.641024177,lentil
21,63,17,25.08966129,6.559681838,lentil
0,69,21,25.86928193,7.072923306,lentil
10,75,17,18.43966037,7.732194788,lentil
30,61,18,27.14911056,6.157782589,lentil
0,74,17,23.33375853,7.240988401,lentil
35,74,22,26.7230014,6.898905799,lentil
7,63,24,19.55750776,6.818681086,lentil
9,56,17,26.13708256,6.261937875,lentil
14,74,15,27.99990346,6.493036868,lentil
14,76,20,29.05941162,7.042474679,lentil
36,65,16,25.71269843,7.692013657,lentil
28,67,21,21.79792649,6.250994223,lentil
28,79,16,24.70626432,6.052184881,lentil
40,61,22,20.94981756,7.002216044,lentil
10,70,19,24.84918386,7.272427638,lentil
12,80,19,21.91041045,5.962001484,lentil
37,77,20,25.93381964,7.080506001,lentil
0,67,22,29.82112112,6.593798387,lentil
7,73,25,27.52185591,7.28805662,lentil
10,56,18,27.99627907,7.32710972,lentil
39,70,15,20.76774783,6.366355781,lentil
26,56,22,23.05276444,7.011121216,lentil
9,77,17,21.65845777,6.280725549,lentil
4,59,19,26.25070298,7.621494566,lentil
34,73,15,20.97195263,7.630424083,lentil
33,77,15,23.89736406,7.802212437,lentil
2,24,38,24.55981624,5.922935513,pomegranate
6,18,37,19.65690085,5.937649578,pomegranate
8,26,36,18.78359608,6.804781106,pomegranate
37,18,39,24.1469628,6.424670614,pomegranate
0,27,38,22.44581266,6.738016221,pomegranate
31,25,38,24.96273236,6.497366677,pomegranate
21,21,38,22.5526059,6.327673765,pomegranate
6,30,40,22.77035608,6.36137446,pomegranate
25,27,41,19.20090378,6.923509371,pomegranate
15,11,38,23.12808226,6.630646083,pomegranate
14,5,36,24.92639065,5.832525853,pomegranate
16,10,41,24.77464458,6.738993954,pomegranate
36,7,37,19.8671184,5.782435567,pomegranate
4,20,41,24.26601316,6.537042717,pomegranate
29,22,40,23.62600218,6.145104401,pomegranate
16,15,42,19.67832052,6.890784045,pomegranate
18,27,41,22.36509395,7.175344328,pomegranate
11,18,42,21.57936934,5.938528744,pomegranate
5,15,38,18.26233221,5.709380472,pomegranate
18,23,44,23.71028128,6.184400085,pomegranate
9,8,40,22.48720144,6.553509673,pomegranate
40,27,45,21.6602498,5.885638185,pomegranate
22,23,44,20.13037175,6.143874691,pomegranate
9,16,39,18.41164435,6.101198974,pomegranate
12,29,40,19.68291173,6.594037135,pomegranate
0,17,42,23.20242586,6.859840821,pomegranate
2,21,44,18.92157197,6.56893406,pomegranate
28,6,40,22.10621387,6.769855664,pomegranate
8,23,44,18.47412402,7.130837931,pomegranate
29,16,36,19.81069447,5.740338002,pomegranate
17,18,43,24.4880844,5.843005428,pomegranate
34,21,42,18.75927679,6.648687274,pomegranate
21,23,42,19.54128063,6.902751061,pomegranate
25,17,40,18.91251245,6.608023872,pomegranate
8,25,36,19.91330523,6.828522375,pomegranate
26,18,42,19.72620525,6.910374919,pomegranate
4,19,42,23.83185873,6.306605528,pomegranate
36,24,41,24.94467632,7.009180374,pomegranate
5,24,40,24.692258,6.297907579,pomegranate
19,17,39,24.72485577,6.728599215,pomegranate
39,30,38,20.12644921,6.965156738,pomegranate
5,29,44,21.02432943,5.578095745,pomegranate
4,24,43,22.40423537,7.199504273,pomegranate
38,21,35,20.33691147,5.841367187,pomegranate
37,11,36,24.24779615,6.710143266,pomegranate
9,25,41,24.81530144,5.972714857,pomegranate
29,22,43,19.66329768,5.561851831,pomegranate
5,21,38,22.43377991,6.107054808,pomegranate
22,26,38,22.92052307,6.988035315,pomegranate
4,18,37,22.91843172,7.13147457,pomegranate
21,6,41,24.88244467,7.086947687,pomegranate
29,21,45,23.40981539,6.749260456,pomegranate
23,5,44,21.20725375,7.16300467,pomegranate
13,7,43,18.20230419,7.013481515,pomegranate
5,13,37,22.34375696,5.648243649,pomegranate
27,24,41,24.32770134,6.610251186,pomegranate
7,23,35,19.75088482,7.054313823,pomegranate
12,20,39,19.86173586,6.026999326,pomegranate
4,19,43,18.07132963,5.779427402,pomegranate
3,9,45,23.89162561,6.535244251,pomegranate
1,27,36,23.98598756,5.684995235,pomegranate
23,30,44,20.93892916,6.12476108,pomegranate
24,21,42,20.82210727,6.999014379,pomegranate
13,30,37,20.86474944,6.277148771,pomegranate
40,11,44,24.45840036,6.322396027,pomegranate
21,9,40,24.51147697,5.956401828,pomegranate
3,27,44,24.56811204,6.591302797,pomegranate
40,29,42,24.63228709,7.104094929,pomegranate
14,25,40,20.07386547,6.407872061,pomegranate
38,14,37,21.80523051,6.658402594,pomegranate
34,9,36,22.8122645,6.276038961,pomegranate
32,14,37,22.73031253,6.825256236,pomegranate
18,21,35,23.2801227,6.368560522,pomegranate
8,23,38,19.30106297,7.005410734,pomegranate
15,6,41,19.0087067,6.897368477,pomegranate
0,5,36,24.35193812,6.152906502,pomegranate
22,9,44,24.72235539,5.744361602,pomegranate
14,8,43,21.92513945,7.051654924,pomegranate
31,11,45,24.83954414,6.034612928,pomegranate
39,17,45,18.09691127,6.924490731,pomegranate
10,5,42,20.24104904,6.887005997,pomegranate
8,28,38,23.22594,6.8444019,pomegranate
32,13,42,23.50128217,5.786058032,pomegranate
18,9,40,19.44623085,5.627186257,pomegranate
20,27,41,20.51343484,5.700088663,pomegranate
39,25,36,18.90223032,5.567805185,pomegranate
20,7,45,18.90592319,6.077886012,pomegranate
11,10,45,22.63045168,6.397995609,pomegranate
40,18,43,19.38603815,5.767372539,pomegranate
3,26,39,24.38318965,7.079973241,pomegranate
9,16,36,23.77989026,5.893332378,pomegranate
30,20,38,22.59890174,7.058222596,pomegranate
40,9,41,24.37766782,5.78270695,pomegranate
40,30,35,20.89273273,6.269663963,pomegranate
32,25,35,18.09903225,5.892913826,pomegranate
33,23,45,20.00218987,7.116538883,pomegranate
4,14,41,19.85139326,6.430163481,pomegranate
13,17,45,21.25433607,7.159520979,pomegranate
39,24,39,23.65374106,6.431265737,pomegranate
8,28,37,23.88404783,6.082571701,pomegranate
91,94,46,29.36792366,6.149934034,banana
105,95,50,27.33368994,5.849076099,banana
108,92,53,27.40053601,6.276800323,banana
86,76,54,29.3159075,5.926824754,banana
80,77,49,26.05433004,5.519088423,banana
93,94,53,25.86632408,6.079178788,banana
90,92,55,27.00932084,6.13465588,banana
108,89,53,29.55054817,5.808497604,banana
108,88,55,26.28845991,5.891458107,banana
105,77,52,29.16226551,5.816622479,banana
118,88,52,28.65003945,5.843163161,banana
101,87,54,29.07311132,6.376756633,banana
95,75,50,28.08166093,5.623615687,banana
106,85,53,27.1994597,5.91505509,banana
86,95,49,28.05484146,6.458714879,banana
83,79,55,25.14748006,5.565028635,banana
85,95,47,25.94019018,6.211833161,banana
109,79,45,27.66752761,6.490074429,banana
100,76,45,25.56703012,5.590236025,banana
117,86,48,28.6956201,6.225225239,banana
114,94,53,26.33544853,6.190757459,banana
110,78,50,25.93730186,5.915568968,banana
94,70,48,25.13686519,6.195152442,banana
80,71,47,27.50527651,6.156373499,banana
114,79,51,26.21009246,6.313197204,banana
88,78,45,29.10403455,6.324270089,banana
112,73,48,29.2440638,5.707488987,banana
117,76,47,25.56202173,6.119216009,banana
111,87,48,26.3985515,5.571401169,banana
89,83,47,28.09577643,5.63127166,banana
93,91,47,27.84767901,6.101241579,banana
92,81,52,27.39341554,6.438137279,banana
105,74,45,25.14517635,6.098369122,banana
102,71,48,28.65456263,5.695267822,banana
94,91,51,29.16093424,5.618094446,banana
116,71,47,27.57278064,6.435785799,banana
117,79,49,25.40909896,6.176644228,banana
119,72,55,25.99069521,6.220643671,banana
99,73,53,26.29039046,5.871702211,banana
91,84,52,29.14827211,6.390741836,banana
80,90,47,26.59743595,6.21084479,banana
101,70,48,25.36059237,6.012696655,banana
108,89,53,29.12036889,5.908770059,banana
100,80,52,27.53911354,6.049801781,banana
109,91,53,29.66727337,6.010095853,banana
82,78,46,25.05802193,5.738678895,banana
106,70,55,25.86824781,5.74055541,banana
90,86,52,25.85036988,5.793260262,banana
83,95,50,26.51682337,5.50947065,banana
119,90,48,28.66725136,5.986442306,banana
107,72,45,28.14938935,5.790768046,banana
116,81,55,26.42313317,5.915546415,banana
101,75,50,26.59386409,6.242528278,banana
93,81,50,27.71822477,6.036079266,banana
95,75,45,28.98333432,5.829898502,banana
107,71,55,29.42017919,6.088064451,banana
83,94,47,27.39872329,6.469370954,banana
102,73,54,26.4020227,5.720726906,banana
86,79,45,27.81251452,5.80766417,banana
117,86,53,25.19640218,5.703381728,banana
111,79,53,28.31193338,6.165001278,banana
95,74,50,25.90113128,6.002481605,banana
91,75,55,27.48612983,6.212369363,banana
93,83,46,29.38254012,5.765308943,banana
92,85,51,29.22118628,5.740764682,banana
104,80,54,27.09062164,5.879119455,banana
103,72,51,26.12643374,6.099478745,banana
92,75,45,29.01207743,5.674403359,banana
93,85,49,27.96799119,5.694243847,banana
120,87,52,28.0764455,5.905494703,banana
108,72,46,25.16278237,6.110844721,banana
105,88,54,25.78749808,6.020445317,banana
98,79,50,25.34119774,6.435917308,banana
111,88,55,29.44795403,5.505393833,banana
97,74,45,26.47522633,5.677719902,banana
95,82,48,27.39489579,5.719014989,banana
89,91,55,25.08347445,6.275572298,banana
89,85,55,26.6719835,6.275384607,banana
118,88,51,25.44926208,6.201911642,banana
101,92,45,28.22776705,5.758054257,banana
99,92,47,28.1279509,6.323933647,banana
82,77,46,28.9470467,5.901100841,banana
90,86,55,27.96236771,5.644486582,banana
95,88,52,28.00316034,6.235461772,banana
